disease,cause,symptoms,treatment,prevention
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,"Tridomorph should be applied as a root feed, using 2ml in 100ml water, once monthly for 3 months",,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,Tridomorph should be applied once a month,,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,Tridomorph is administrated as a root feed,,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,75% EC,,,
Healthy tree stem base,"The tree stem base in the picture appears healthy, as indicated by the title underneath",,,
Healthy tree stem base,The picture on the left shows a healthy tree stem base,,,
Fruiting bodies at base of the infected tree,The fruiting bodies are located at the base of the infected tree,,,
Fruiting bodies at base of the infected tree,The right-side image shows fruiting bodies at the base of the infected tree,,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,,,should be administered for 3 months.,
Fruiting bodies at base of the infected tree,The presence of fruiting bodies at the base indicates an infected tree,,,
Healthy tree stem base; Fruiting bodies at base of the infected tree,"One image shows a healthy tree stem base, and the other shows fruiting bodies at the base of the infected tree, indicating infection",,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,,,regimen using tridomorph for tree disease management.,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,Tridomorph is a fungicide," It is used as a root feed, mixing 2ml in 100ml water",,
Healthy tree stem base; Fruiting bodies at base of the infected tree,"Healthy trees have a clear stem base, whereas infected trees exhibit fruiting bodies at the base",,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,Tridomorph is used to manage tree diseases by preventing fungal infections,,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,"A root feed with tridomorph 75% EC, applied once monthly for 3 months, is recommended",,,
Healthy tree stem base,"A clear, unobstructed, and fungus-free stem base indicates a healthy tree",,,
Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months,,,"involves applying tridomorph 75% EC as a root feed, 2ml mixed in 100ml water, once every month for three months.",
Family : Myrtaceae,Myrtaceae,,,
Order : Myrtales,Myrtales,,,
Genus : Eucalyptus,Eucalyptus,,,
Clade : Angiosperms,Angiosperms,,,
"The wood is light yellowish-brown colour, moderately durable.",Light yellowish-brown,,,
"It has also been planted as windbreak and shelter belts along the orchards, pastures, roads, and also for environment conservation purposes.","Orchards, pastures, roads, and for environment conservation",,,
"Eucalyptus essential oil is used in food, perfumery and pharmaceutical industry.","Food, perfumery, and pharmaceutical industry",,,
"Eucalyptus is a beautiful, tall, evergreen, and majestic tree with rapid growth and adaptability to a variety of ecological conditions.","Beautiful, tall, evergreen, and majestic tree",,,
The eucalyptusflowers produce abundant pollen and nectar suitable for apiculture.,They produce abundant pollen and nectar,,,
"It is a widely cultivated tree species of industrial importance, mainly for paper, pulp, firewood, and timber purpose.","Used for paper, pulp, firewood, and timber",,,
"It has also been planted as windbreak and shelter belts along the orchards, pastures, roads, and also for environment conservation purposes such as erosion, salinity control and to reduce atmospheric carbon dioxide levels.","Windbreaks, shelter belts, erosion control, salinity control, reduce CO2 levels",,,
"Eucalyptus essential oil possesses a wide spectrum of biological activity including anti-microbial, fungicidal, insecticidal/insect repellent, herbicidal, acaricidal and nematocidal properties.","Anti-microbial, fungicidal, insecticidal, insect repellent, herbicidal, acaricidal, nematocidal",,,
Kingdom : Plantae,Plantae,,,
The eucalyptusflowers produce abundant pollen and nectar suitable for apiculture.,Eucalyptus flowers provide abundant pollen and nectar,,,
Species : grandis,grandis,,,
"Eucalyptus is a beautiful, tall, evergreen, and majestic tree with rapid growth and adaptability to a variety of ecological conditions.",It adapts to a variety of ecological conditions,,,
"It is a widely cultivated tree species of industrial importance, mainly for paper, pulp, firewood, and timber purpose.","Paper, pulp, firewood, and timber industries",,,
"It has also been planted as windbreak and shelter belts along the orchards, pastures, roads, and also for environment conservation purposes such as erosion, salinity control and to reduce atmospheric carbon dioxide levels.","Windbreaks, salinity control, erosion control, reducing atmospheric CO2",,,
"Eucalyptus essential oil is used in food, perfumery and pharmaceutical industry.",Its essential oil is widely used in perfumery,,,
"Eucalyptus is a beautiful, tall, evergreen, and majestic tree with rapid growth and adaptability to a variety of ecological conditions.","It is a tall, evergreen tree with rapid growth and adaptability",,,
"3.2 Distribution
Eucalyptus is native to Australia...",Eucalyptus is native to Australia,,,
"3.2 Distribution
In India, it was first introduced in the state of Karnataka...",Mysore Emperor (Tipu Sultan),,,
"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease)...",Corticium salmonicolor,,,
"3.4.1 Pre- and Post-emergence damping off (Phytophthora spp.)
Symptoms:
Poor seedling emergence due to killing of the seed...",Poor seedling emergence due to killing of the seed before germination or by invasion of seedling radicles and hypocotyls,,,
"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease), Chrysosporium cubensis, Botryosphaeria dothidea...","Fungal species such as Corticium salmonicolor, Chrysosporium cubensis, and Botryosphaeria dothidea",,,
"3.2 Common diseases
Eucalyptus is attacked by various tree pathogens to cause severe losses at nursery...",Plant Diseases in Agroforestry: A Ready Reckoner,,,
"3.2 Common diseases
Root rot (Cylindrocarpon lucidum)...",Cylindrocarpon lucidum,,,
"3.2 Distribution
It is distributed widely in the tropical and temperate world including the America, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent...","Tropical and temperate climates in America, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent",,,
"3.2 Common diseases
Macrocosmospora megalospora, Thyronectria pseudotrichia, Hysterium angustatum, Natttassa toruloidea cause major loss to timber quality and quantity...","Diseases like Macrocosmospora megalospora, Thyronectria pseudotrichia, Hysterium angustatum, and Natttassa toruloidea",,,
"3.2 Common diseases
Little leaf (Phytoplasma)...",Little leaf,,,
"3.2 Common diseases
Stem cankers caused by the fungal species Corticium salmonicolor (pink disease)... create a fear of failure of entire plantation program...","d by fungal species such as Corticium salmonicolor, Chrysosporium cubensis, and Botryosphaeria dothidea at the nursery level can lead to fear of plantation program failure.",,,
"3.4.1 Pre- and Post-emergence damping off (Phytophthora spp.)
Symptoms:
Poor seedling emergence due to killing of the seed before germination...",Killing of seed before germination or invasion of seedling radicles and hypocotyls,,,
"3.2 Common diseases
Other diseases like leaf spots (Phaeoseptoria eucalypti)...",Phaeoseptoria eucalypti,,,
"3.2 Common diseases
Vascular wilt (Fusarium oxysporum)...",Fusarium oxysporum,,,
"3.2 Distribution
... the genus is represented by around 700 other species that are cultivated throughout the world.",Around 700 species,,,
"3.2 Common diseases
... leaf blight (Coniella australiensis) are seasonal.",Leaf blight (Coniella australiensis) has a seasonal impact,,,
"3.2 Distribution
... and now widely cultivated in Andhra Pradesh, Bihar, Goa, Daman and Diu, Gujarat, Haryana, Kerala, Madhya Pradesh, Maharashtra, Punjab, Tamil Nadu, Uttar Pradesh and West Bengal.","Andhra Pradesh, Bihar, Goa, Daman and Diu, Gujarat, Haryana, Kerala, Madhya Pradesh, Maharashtra, Punjab, Tamil Nadu, Uttar Pradesh, West Bengal",,,
"3.2 Common diseases
Eucalyptus is attacked by various tree pathogens to cause severe losses... Valsa eucalypti (valsa canker)... diseases such as pink disease, valsa canker and vascular wilt create a fear of failure of the entire plantation program...","Pink disease, valsa canker, and vascular wilt",,,
"Cover page as provided
Plant Diseases in Agroforestry: A Ready Reckoner covers these topics.",Plant Diseases in Agroforestry: A Ready Reckoner,,,
"3.2 Common diseases
Stem cankers caused by the fungal... and leaf blight (Coniella australiensis).",Section 3,2 details the fungal diseases affecting Eucalyptus,,
Stems become water-soaked due to tissue invasion and cell maceration.,Web blight (Rhizoctonia solani),,,
Plants fall over leading to the death of plants in patches.,Plants fall over and die in patches,,,
3.4.2 Web blight (Rhizoctonia solani),Web blight,,,
Soil drenching with copper oxychloride 50% WP @ 2g/litre.,Soil drenching with copper oxychloride 50% WP @ 2g/litre,,,
Soil solarisation of the potting mixture before use.,Potting mixture,,,
Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.,Fosetyl aluminium 80% WP,,,
Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.,Soil drenching with fosetyl aluminium 80% WP,,,
Soil drenching with copper oxychloride 50% WP @ 2g/litre.,50% WP @ 2g/litre,,,
Proper ventilation and adequate drainage facility at nursery site.,To ensure adequate drainage and reduce disease spread,,,
Stems become water-soaked due to tissue invasion and cell maceration.,Tissue invasion and cell maceration,,,
Use of pathogen-free propagating material.,Pathogen-free propagating material,,,
Soil fumigation with formalin.,Soil fumigation with formalin,,,
Plants fall over leading to the death of plants in patches.,s plants to fall over and die in patches.,,,
Illustration showing a healthy Nilgiri leaf and blight affected foliage.,"A healthy leaf is green and intact, while affected foliage shows brown spots and decay",,,
Soil solarisation of the potting mixture before use.,To reduce pathogen load in the soil mix,,,
Proper ventilation and adequate drainage facility at nursery site.,Ensure proper ventilation and adequate drainage,,,
Drench the soil with fosetyl aluminium 80% WP @ 20-50g/20 litre water.,Drench the soil with fosetyl aluminium 80% WP solution,,,
Use of pathogen-free propagating material.,It prevents the introduction of diseases,,,
Proper ventilation and adequate drainage facility at nursery site.,To prevent water accumulation that can promote disease,,,
Illustration showing a healthy Nilgiri leaf and blight affected foliage.,Affected foliage exhibits brown spots and decay,,,
"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves",Water-soaked lesions are a symptom of a plant disease,,,
"Management:
➤ Soil solarisation of potting mixture before use",Potting mixture should be solarised before use,,,
3.4.3 Bacterial wilt (Ralstonia solanacearum),Ralstonia solanacearum is associated with bacterial wilt,,,
"Management:
➤ Soil drenching with copper oxychloride 50% WP @ 2g/litre",Soil drenching with copper oxychloride 50% WP @ 2g/litre,,,
"Management:
➤ Spray Propiconazole @25% EC 1 ml/litre in severely infected nurseries",Propiconazole @25% EC 1 ml/litre,,,
"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves","Necrosis and blightening of leaves, along with water-soaked lesions, indicate a disease in plants",,,
"Symptoms:
➤ Wilting and subsequent death of the seedlings/young plantations",Seedlings and young plantations wilt and eventually die due to plant disease,,,
"Management:
➤ Soil fumigation with formalin",Soil fumigation with formalin is a management technique,,,
"Symptoms:
➤ Web of mycelium at the infection site",Mycelium forms a web at the infection site,,,
"Symptoms:
➤ Heavy defoliation",Heavy defoliation indicates a severe plant disease,,,
"Symptoms:
➤ Infected seedlings and plants show drooping and drying of leaves with out yellowing",Infected seedlings and plants show drooping and drying of leaves without yellowing,,,
"Symptoms:
➤ Young plants die showing no recovery even after irrigation",Young plants die showing no recovery even after irrigation,,,
"Symptoms:
➤ Wilt affected wood shows profuse oozing of bacteria from the cut surface",Wilt affected wood shows profuse oozing of bacteria from the cut surface,,,
"3.4.3 Bacterial wilt (Ralstonia solanacearum)
Symptoms:
➤ Infected seedlings and plants show drooping and drying of leaves with out yellowing
➤ Young plants die showing no recovery even after irrigation
➤ Wilt affected wood shows profuse oozing of bacteria from the cut surface",,"include drooping and drying of leaves without yellowing, death of young plants without recovery after irrigation, and profuse oozing of bacteria from wilt affected wood.",,
"Management:
➤ Soil solarisation of potting mixture before use","d by Ralstonia solanacearum, soil solarisation of potting mixture should be done before use.",,,
"Management:
➤ Soil solarisation of potting mixture before use
➤ Sterilization of plastic pots/tubes
➤ Soil fumigation with formalin
➤ Soil drenching with copper oxychloride 50% WP @ 2g/litre
➤ Spray Propiconazole @25% EC 1 ml/litre in severely infected nurseries","Management strategies for handling plant diseases include soil solarisation, sterilization of plastic pots/tubes, soil fumigation with formalin, soil drenching with copper oxychloride, and spraying Propiconazole",,,
"Management:
➤ Soil solarisation of potting mixture before use",Soil solarisation of potting mixture before use should be done to prevent plant diseases,,,
"Symptoms:
➤ Water-soaked lesions in the plant, necrosis and blightening of leaves
➤ Heavy defoliation
➤ Wilting and subsequent death of the seedlings/young plantations
➤ Web of mycelium at the infection site",,"of plant diseases include water-soaked lesions, necrosis, blightening of leaves, heavy defoliation, wilting, death of seedlings/young plantations, and a web of mycelium at the infection site.",,
"3.4.3 Bacterial wilt (Ralstonia solanacearum)
Healthy wood logs	Wilt affected plants and wood",An image comparison showcases healthy wood logs versus wilt affected plants and wood,,,
Technical Bulletin CAFRI/2021/02 - 'Plant Diseases in Agroforestry: A Ready Reckoner',Plant diseases in agroforestry,,,
"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India","Near Pahuj Dam, Gwalior Road, Jhansi, Uttar Pradesh",,,
Technical Bulletin CAFRI/2021/02,CAFRI/2021/02,,,
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam","M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa and A Arunachalam",,,
Technical Bulletin,Technical Bulletin,,,
Plant Diseases in Agroforestry: A Ready Reckoner,Plant diseases in Agroforestry,,,
Technical Bulletin CAFRI/2021/02,"'Plant Diseases in Agroforestry: A Ready Reckoner', Technical Bulletin CAFRI/2021/02",,,
Plant Diseases in Agroforestry,Plant diseases,,,
ICAR-Central Agroforestry Research Institute,Indian Council of Agricultural Research,,,
Technical Bulletin CAFRI/2021/02,Technical Bulletin,,,
ICAR-Central Agroforestry Research Institute,ICAR-Central Agroforestry Research Institute,,,
"Plant Diseases in Agroforestry: A Ready Reckoner by M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam; Technical Bulletin CAFRI/2021/02","Plant Diseases in Agroforestry: A Ready Reckoner by M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam; Technical Bulletin CAFRI/2021/02",,,
M Ashajyothi is listed as one of the authors.,Authorship,,,
'Plant Diseases in Agroforestry' is described as 'A Ready Reckoner'.,Plant Diseases in Agroforestry,,,
3.4.4 Pink disease/stem canker (Corticium salmonicolor),Pink disease/stem canker,,,
Web of mycelium on the stem and depression at the infected region,Web of mycelium on the stem,,,
Sterilization of plastic pots and planting tools,Plastic pots and planting tools,,,
Stem above infected area show die-back in seedlings,Die-back in seedlings,,,
Application of bordeaux paste (10%) on the cut surface of stumps,10%,,,
Avoid wounding,Avoid wounding,,,
Bushy appearance of the tree due to apical shoot damage,Apical shoot,,,
Removal and disposal of heavily infected plants,Heavily infected plants should be removed and disposed of,,,
Soil drench with COC 50% WP @20g in 10 litres water around tree base,Soil drench with COC 50% WP involves using 20g in 10 litres of water around the tree base,,,
Use canker resistant planting material,Canker resistant planting material should be used to manage the disease,,,
Vertical bark splitting and stem girdling,Vertical bark splitting can occur along with stem girdling in infected areas,,,
Vertical bark splitting and stem girdling,Stem girdling along with vertical bark splitting is a symptom of pink disease,,,
Stem above infected area show die-back in seedlings,,is the stem above the infected area showing die-back in seedlings.,,
Soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP @ 2g/litre around tree base,,,", use plantamycin 100mg/litre and copper oxychloride 50% WP at 2g/litre around the tree base.",
Web of mycelium on the stem and depression at the infected region,The presence of a web of mycelium on the stem suggests depression at the infected region,,,
Application of bordeaux paste (10%) on the cut surface of stumps,Bordeaux paste with a 10% concentration can be applied to the cut surface of stumps,,,
Removal and disposal of heavily infected plants,Heavily infected plants should be removed and disposed of to manage the spread,,,
Use canker resistant planting material,Using canker resistant planting material helps in managing pink disease,,,
Soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP @ 2g/litre around tree base,The method involves soil drench with plantamycin 100mg/litre and copper oxychloride 50% WP at 2g/litre around the tree base,,,
Bushy appearance of the tree due to apical shoot damage,A tree affected by pink disease appears bushy due to apical shoot damage,,,
Teak (Tectona grandis),Tectona grandis,,,
Family : Lamiaceae,Lamiaceae,,,
Order : Lamiales,Lamiales,,,
Genus : Tectona,Tectona,,,
Clade : Tracheophytes,Tracheophytes,,,
"maintain soil fertility, water conservation through runoff control.",By aiding in runoff control,,,
"used as furniture, shipbuilding and decorative components.",Furniture and shipbuilding,,,
superior timber quality and more importantly timber durability.,Due to its superior timber quality and durability,,,
high timber durability.,Its superior timber quality and high durability,,,
"carbon sequestration, stand structural diversity to maintain environmental biodiversity",Carbon sequestration and maintaining environmental biodiversity,,,
"beautification across the roadside/as ornamental outside forest areas,",Beautification and ornamentation,,,
"subsequently maintain soil fertility, water conservation through runoff control.",Maintaining soil fertility and enhancing microbial density,,,
Teak has the potential to tolerate termite attack and wood-decaying fungi.,By its potential to tolerate termite attacks and resist wood-decaying fungi,,,
"stand structural diversity to maintain environmental biodiversity, beautification across the roadside",Stand structural diversity and roadside beautification,,,
a potential commercial tree species globally.,Its potential as a globally significant commercial tree species,,,
"furniture, shipbuilding and decorative components.","Furniture, shipbuilding, and decorative components",,,
"soil microfauna diversity and microbial density subsequently maintain soil fertility, water conservation","Enhancing soil microfauna diversity, microbial density, and water conservation",,,
beautification across the roadside/as ornamental outside forest areas,Roadside beautification and ornamental use,,,
superior timber quality and more importantly timber durability.,It's known for its superior timber quality and durability,,,
"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha.","India, Myanmar, Thailand, Nigeria, and Brazil",,,
